customer_city,order_purchase_date,Total_sales
Alegrete,2018-02-25,87.64
Alegrete,2018-03-26,39.04
Alegrete,2018-03-27,144.64
Alegrete,2018-04-02,148.98000000000002
Alegrete,2018-04-11,485.4
Alegrete,2018-05-16,30.0
Alegrete,2018-08-07,29.0
Alem Paraiba,2017-03-01,72.14
Alem Paraiba,2017-03-13,725.4
Alem Paraiba,2017-04-30,65.0
Alem Paraiba,2017-06-06,60.0
Alem Paraiba,2017-07-18,75.07
Alem Paraiba,2017-10-13,585.7
Alem Paraiba,2017-10-23,92.57
Alem Paraiba,2017-10-25,44.379999999999995
Alem Paraiba,2017-11-24,105.28
Alem Paraiba,2017-12-26,181.1
Alem Paraiba,2018-01-04,58.31
Alem Paraiba,2018-01-09,77.57
Alem Paraiba,2018-01-25,296.24
Alem Paraiba,2018-02-21,197.11
Alem Paraiba,2018-02-26,61.050000000000004
Alem Paraiba,2018-03-06,45.93
Alem Paraiba,2018-03-14,90.67
Alem Paraiba,2018-03-20,133.76
Alem Paraiba,2018-03-22,106.87
Alem Paraiba,2018-03-26,123.67999999999999
Alem Paraiba,2018-04-22,77.57
Alem Paraiba,2018-05-13,148.15
Alem Paraiba,2018-05-14,104.78999999999999
Alem Paraiba,2018-05-24,178.64
Alem Paraiba,2018-06-29,36.69
Alem Paraiba,2018-07-20,89.38000000000001
Alem Paraiba,2018-07-24,243.82
Alem Paraiba,2018-07-29,110.42
Alem Paraiba,2018-08-04,73.16
Alem Paraiba,2018-08-13,173.84
Alem Paraiba,2018-08-18,90.88000000000001
Alem Paraiba,2018-08-26,136.04
Alexandria,2017-04-12,138.15
Alexandria,2017-05-20,152.7
Alexandria,2018-03-09,81.57
Alexandrita,2018-01-31,229.79999999999998
Alexania,2017-02-23,231.26
Alexania,2017-03-09,45.120000000000005
Alexania,2017-05-09,85.13
Alexania,2018-02-10,263.62
Alfenas,2017-02-16,127.55000000000001
Alfenas,2017-02-22,112.04
Alfenas,2017-02-27,138.26
Alfenas,2017-03-14,120.79
Alfenas,2017-03-21,274.84
Alfenas,2017-04-26,67.3
Alfenas,2017-05-02,286.31
Alfenas,2017-05-13,111.42
Alfenas,2017-06-06,62.01
Alfenas,2017-06-12,133.57
Alfenas,2017-06-13,42.1
Alfenas,2017-07-07,210.61
Alfenas,2017-07-14,290.76
Alfenas,2017-08-29,174.07
Alfenas,2017-09-04,36.01
Alfenas,2017-09-18,98.64999999999999
Alfenas,2017-10-14,77.57
Alfenas,2017-10-26,93.57
Alfenas,2017-10-28,78.42
Alfenas,2017-11-19,73.47
Alfenas,2017-11-23,112.04
Alfenas,2017-11-26,98.56
Alfenas,2017-12-13,112.69999999999999
Alfenas,2017-12-14,124.7
Alfenas,2017-12-30,92.77000000000001
Alfenas,2018-01-31,185.71
Alfenas,2018-02-04,59.01
Alfenas,2018-02-05,50.879999999999995
Alfenas,2018-02-06,100.23
Alfenas,2018-02-11,138.26
Alfenas,2018-02-18,175.26
Alfenas,2018-02-25,118.72
Alfenas,2018-03-04,82.22
Alfenas,2018-03-12,45.45
Alfenas,2018-03-14,194.8
Alfenas,2018-03-23,354.94
Alfenas,2018-03-24,174.86
Alfenas,2018-04-18,78.65
Alfenas,2018-05-02,22.939999999999998
Alfenas,2018-05-10,21.09
Alfenas,2018-05-17,112.04
Alfenas,2018-06-28,54.510000000000005
Alfenas,2018-06-30,166.75
Alfenas,2018-07-05,148.15
Alfenas,2018-07-14,148.15
Alfenas,2018-07-18,92.67999999999999
Alfenas,2018-07-21,131.16
Alfenas,2018-07-26,40.85
Alfenas,2018-08-03,109.72
Alfenas,2018-08-09,110.16
Alfenas,2018-08-13,77.57
Alfenas,2018-08-16,95.3
Alfenas,2018-08-18,149.23
Alfenas,2018-08-20,310.03
Alfredo Chaves,2017-09-07,213.78
Alfredo Chaves,2017-11-05,106.87
Alfredo Chaves,2017-11-28,91.28
Alfredo Chaves,2018-05-15,122.27
Alfredo Chaves,2018-07-22,44.41
Alfredo Guedes,2018-01-12,89.39
Alfredo Marcondes,2018-05-20,169.23
Alfredo Vasconcelos,2017-03-03,160.18
Alfredo Vasconcelos,2018-06-01,205.49
Alhandra,2017-06-02,869.09
Alianca,2017-02-06,585.73
Alianca,2017-07-29,89.92999999999999
Alianca,2018-04-25,135.6
Alianca do Tocantins,2018-04-11,112.11999999999999
Almas,2017-09-09,66.78
Almas,2018-06-25,46.78
Almenara,2017-03-03,74.16
Almenara,2017-07-24,246.38
Almenara,2017-09-27,1479.51
Almenara,2017-10-09,860.97
Almenara,2017-11-14,187.83
Almenara,2017-12-30,87.39
Almenara,2018-01-18,316.84000000000003
Almenara,2018-01-23,44.1
Almenara,2018-01-30,46.01
Almenara,2018-02-11,132.48
Almenara,2018-03-21,81.78
Almenara,2018-04-10,133.48000000000002
Almenara,2018-04-13,37.089999999999996
